Project Name,Package Name,Architecture Smell,Cause of the Smell
commons-lang,org.apache.commons.lang3.math,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.lang3
commons-lang,org.apache.commons.lang3.math,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FractionTest; Fraction]; [NumberUtilsTest; NumberUtils]; [IEEE754rUtilsTest; IEEE754rUtils]. LCC (Lack of Component Cohesion) = 0.5
commons-lang,org.apache.commons.lang3.time,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 72
commons-lang,org.apache.commons.lang3.time,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CalendarUtilsTest; CalendarUtils; FastDatePrinter; DatePrinter; FastDateParserTest; Java15BugFastDateParserTest; FastDateParser; FastDateFormat; FormatCache; TimeZones; DateParser; DateUtils; DurationFormatUtils; DateFormatUtils; FastDateParserTest.Expected1806; FastTimeZoneTest; FastTimeZone; DateUtilsFragmentTest; DateUtilsRoundingTest; DurationFormatUtilsTest; FastDatePrinterTest; FastDateFormat_PrinterTest; FastDatePrinterTest.Expected1806; StopWatchTest; StopWatch; FastDateFormatTest; FastDatePrinterTimeZonesTest; DateUtilsTest; WeekYearTest; FastDateParserSDFTest; FastDateParser_MoreOrLessTest; DateFormatUtilsTest; FastDateParser_TimeZoneStrategyTest; FastDateParser.TimeZoneStrategy; GmtTimeZone]; [GmtTimeZoneTest]; [DurationUtilsTest; DurationUtils]; [FastDateParser.StrategyAndWidth]; [FastDateParser.StrategyParser]; [FastDateParser.Strategy]; [FastDateParser.PatternStrategy]; [FastDateParser.CopyQuotedStrategy]; [FastDateParser.CaseInsensitiveTextStrategy]; [FastDateParser.NumberStrategy]; [FastDateParser.TzInfo]; [FastDateParser.ISO8601TimeZoneStrategy]; [StopWatch.SplitState]; [StopWatch.State]; [FormatCache.ArrayKey]; [DateUtils.ModifyType]; [DateUtils.DateIterator]; [FastDatePrinter.Rule]; [FastDatePrinter.NumberRule]; [FastDatePrinter.CharacterLiteral]; [FastDatePrinter.StringLiteral]; [FastDatePrinter.TextField]; [FastDatePrinter.UnpaddedNumberField]; [FastDatePrinter.UnpaddedMonthField]; [FastDatePrinter.PaddedNumberField]; [FastDatePrinter.TwoDigitNumberField]; [FastDatePrinter.TwoDigitYearField]; [FastDatePrinter.TwoDigitMonthField]; [FastDatePrinter.TwelveHourField]; [FastDatePrinter.TwentyFourHourField]; [FastDatePrinter.DayInWeekField]; [FastDatePrinter.WeekYear]; [FastDatePrinter.TimeZoneNameRule]; [FastDatePrinter.TimeZoneNumberRule]; [FastDatePrinter.Iso8601_Rule]; [FastDatePrinter.TimeZoneDisplayKey]; [DurationFormatUtils.Token]. LCC (Lack of Component Cohesion) = 0.51
commons-lang,org.apache.commons.lang3.concurrent,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 67
commons-lang,org.apache.commons.lang3.concurrent,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConcurrentUtilsTest; ConcurrentException; ConcurrentUtils; ConcurrentRuntimeException; BackgroundInitializer; ConcurrentInitializer; LazyInitializer; MultiBackgroundInitializer; CallableBackgroundInitializer; AtomicSafeInitializer; AbstractConcurrentInitializerTest; AtomicSafeInitializerTest; LazyInitializerTest; AtomicInitializerTest; AtomicSafeInitializerTest.AtomicSafeInitializerTestImpl; BackgroundInitializerTest; BackgroundInitializerTest.BackgroundInitializerTestImpl; MultiBackgroundInitializerTest; MultiBackgroundInitializerTest.ChildBackgroundInitializer; LazyInitializerTest.LazyInitializerTestImpl; ConstantInitializerTest; ConstantInitializer; CallableBackgroundInitializerTest; AtomicInitializer]; [AbstractConcurrentInitializerTest.GetThread]; [UncheckedExecutionExceptionTest]; [FutureTasksTest; FutureTasks; Memoizer; MemoizerFunctionTest; MemoizerComputableTest; Computable]; [CircuitBreakingExceptionTest; CircuitBreakingException]; [UncheckedFutureTest; UncheckedTimeoutException; UncheckedFuture; UncheckedExecutionException; UncheckedFutureImpl; UncheckedFutureTest.TestFuture; AbstractFutureProxy]; [EventCountCircuitBreakerTest; EventCountCircuitBreaker; EventCountCircuitBreakerTest.EventCountCircuitBreakerTestImpl; ThresholdCircuitBreakerTest; ThresholdCircuitBreaker; AbstractCircuitBreaker; CircuitBreaker]; [EventCountCircuitBreakerTest.ChangeListener]; [UncheckedTimeoutExceptionTest]; [CallableBackgroundInitializerTest.TestCallable]; [BasicThreadFactoryTest; BasicThreadFactory]; [TimedSemaphoreTest; TimedSemaphore; TimedSemaphoreTest.TimedSemaphoreTestImpl; TimedSemaphoreTest.SemaphoreThread; TimedSemaphoreTest.TryAcquireThread]; [ConcurrentUtils.ConstantFuture]; [BackgroundInitializer.InitializationTask]; [BasicThreadFactory.Builder]; [AbstractCircuitBreaker.State]; [MultiBackgroundInitializer.MultiBackgroundInitializerResults]; [EventCountCircuitBreaker.CheckIntervalData]; [EventCountCircuitBreaker.StateStrategy]; [EventCountCircuitBreaker.StateStrategyClosed]; [EventCountCircuitBreaker.StateStrategyOpen]. LCC (Lack of Component Cohesion) = 0.31
commons-lang,org.apache.commons.lang3.compare,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ObjectToStringComparatorTest; ObjectToStringComparator]; [ObjectToStringComparatorTest.Thing]; [ComparableUtilsTest; ComparableUtils]; [ComparableUtilsTest.A_is_1]; [ComparableUtilsTest.B_is_0]; [ComparableUtilsTest.C_is_0]; [ComparableUtilsTest.C_is_1]; [ComparableUtilsTest.C_is_10]; [ComparableUtilsTest.B_is_1]; [ComparableUtilsTest.C_is_0]; [ComparableUtilsTest.C_is_1]; [ComparableUtilsTest.C_is_10]; [ComparableUtilsTest.B_is_10]; [ComparableUtilsTest.C_is_0]; [ComparableUtilsTest.C_is_1]; [ComparableUtilsTest.C_is_10]; [ComparableUtils.ComparableCheckBuilder]. LCC (Lack of Component Cohesion) = 0.89
commons-lang,org.apache.commons.lang3.text,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 37
commons-lang,org.apache.commons.lang3.text,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [StrLookupTest; StrLookup; StrLookup.MapStrLookup; StrLookup.SystemPropertiesStrLookup; StrSubstitutorTest; StrSubstitutor; StrBuilder; StrBuilderAppendInsertTest; StrBuilderTest; StrMatcherTest; StrMatcher; StrMatcher.CharSetMatcher; StrMatcher.CharMatcher; StrMatcher.StringMatcher; StrMatcher.NoMatcher; StrMatcher.TrimMatcher; ExtendedMessageFormat; StrTokenizerTest; StrTokenizer; ExtendedMessageFormatTest; ExtendedMessageFormatTest.LowerCaseFormatFactory; FormatFactory; ExtendedMessageFormatTest.UpperCaseFormatFactory; ExtendedMessageFormatTest.OverrideShortDateFormatFactory; ExtendedMessageFormatTest.OtherExtendedMessageFormat; StrBuilder.StrBuilderTokenizer]; [WordUtilsTest; WordUtils]; [CompositeFormatTest; CompositeFormat]; [ExtendedMessageFormatTest.LowerCaseFormat]; [ExtendedMessageFormatTest.UpperCaseFormat]; [FormattableUtilsTest; FormattableUtils]; [StrBuilderTest.MockReadable]; [StrBuilder.StrBuilderReader]; [StrBuilder.StrBuilderWriter]. LCC (Lack of Component Cohesion) = 0.24
commons-lang,org.apache.commons.lang3.builder,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 129
commons-lang,org.apache.commons.lang3.builder,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.lang3.reflect
commons-lang,org.apache.commons.lang3.builder,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ReflectionToStringBuilderIncludeTest; ReflectionToStringBuilder; ToStringStyle; ToStringStyle.DefaultToStringStyle; ToStringStyle.NoFieldNameToStringStyle; ToStringStyle.ShortPrefixToStringStyle; ToStringStyle.SimpleToStringStyle; ToStringStyle.MultiLineToStringStyle; ToStringStyle.NoClassNameToStringStyle; ToStringStyle.JsonToStringStyle; HashCodeBuilder; CompareToBuilder; DiffResult; DiffBuilder; Diffable; ReflectionDiffBuilder; ToStringBuilder; MultilineRecursiveToStringStyle; EqualsBuilder; IDKey; StandardToStringStyleTest; StandardToStringStyle; ShortPrefixToStringStyleTest; ToStringStyleTest; ToStringStyleTest.ToStringStyleImpl; ReflectionToStringBuilderExcludeNullValuesTest; NoFieldNamesToStringStyleTest; DiffBuilderTest; Diff; DiffBuilderTest.TypeTestClass; NoClassNameToStringStyleTest; DiffResultTest; DiffResultTest.SimpleClass; EqualsBuilderTest; MultiLineToStringStyleTest; ReflectionToStringBuilderConcurrencyTest; ReflectionToStringBuilderExcludeWithAnnotationTest; RecursiveToStringStyleTest; ReflectionToStringBuilderExcludeTest; ReflectionDiffBuilderTest; ReflectionDiffBuilderTest.TypeTestClass; ReflectionToStringBuilderSummaryTest; ReflectionToStringBuilderTest; HashCodeBuilderTest; ToStringBuilderTest; HashCodeBuilderAndEqualsBuilderTest; DiffTest; DiffTest.BooleanDiff; CompareToBuilderTest; DefaultToStringStyleTest; JsonToStringStyleTest; SimpleToStringStyleTest; RecursiveToStringStyle; Builder; Reflection]; [ReflectionToStringBuilderIncludeTest.TestFeature]; [ToStringStyleTest.Person]; [ReflectionToStringBuilderExcludeNullValuesTest.TestFixture]; [DiffResultTest.EmptyClass]; [EqualsBuilderTest.TestObject]; [EqualsBuilderTest.TestSubObject]; [EqualsBuilderTest.TestEmptySubObject]; [EqualsBuilderTest.TestTSubObject]; [EqualsBuilderTest.TestTTSubObject]; [EqualsBuilderTest.TestTTLeafObject]; [EqualsBuilderTest.TestTSubObject2]; [EqualsBuilderTest.TestRecursiveGenericObject]; [EqualsBuilderTest.TestRecursiveObject]; [EqualsBuilderTest.TestRecursiveInnerObject]; [EqualsBuilderTest.TestRecursiveCycleObject]; [EqualsBuilderTest.TestACanEqualB]; [EqualsBuilderTest.TestBCanEqualA]; [EqualsBuilderTest.TestObjectWithMultipleFields]; [EqualsBuilderTest.TestObjectReference]; [EqualsBuilderTest.TestObjectEqualsExclude]; [ReflectionToStringBuilderConcurrencyTest.CollectionHolder]; [ReflectionToStringBuilderExcludeWithAnnotationTest.TestFixture]; [ReflectionToStringBuilderMutateInspectConcurrencyTest]; [ReflectionToStringBuilderMutateInspectConcurrencyTest.TestFixture]; [ReflectionToStringBuilderMutateInspectConcurrencyTest.MutatingClient]; [ReflectionToStringBuilderMutateInspectConcurrencyTest.InspectingClient]; [RecursiveToStringStyleTest.Person]; [RecursiveToStringStyleTest.Job]; [ReflectionToStringBuilderExcludeTest.TestFixture]; [ReflectionDiffBuilderTest.TypeTestChildClass]; [HashCodeBuilderTest.ReflectionTestCycleA]; [HashCodeBuilderTest.ReflectionTestCycleB]; [HashCodeBuilderTest.TestObject]; [HashCodeBuilderTest.TestObjectHashCodeExclude]; [HashCodeBuilderTest.TestObjectHashCodeExclude2]; [HashCodeBuilderTest.TestObjectWithMultipleFields]; [HashCodeBuilderTest.TestSubObject]; [ToStringBuilderTest.ReflectionTestFixtureA]; [ToStringBuilderTest.ReflectionTestFixtureB]; [ToStringBuilderTest.Outer]; [ToStringBuilderTest.Inner]; [ToStringBuilderTest.ReflectionTestCycleA]; [ToStringBuilderTest.ReflectionTestCycleB]; [ToStringBuilderTest.SimpleReflectionTestFixture]; [ToStringBuilderTest.SelfInstanceVarReflectionTestFixture]; [ToStringBuilderTest.SelfInstanceTwoVarsReflectionTestFixture]; [ToStringBuilderTest.ObjectCycle]; [ToStringBuilderTest.ReflectionStaticFieldsFixture]; [ToStringBuilderTest.SimpleReflectionStaticFieldsFixture]; [ToStringBuilderTest.InheritedReflectionStaticFieldsFixture]; [ToStringBuilderTest.MultiLineTestObject]; [HashCodeBuilderAndEqualsBuilderTest.TestFixture]; [HashCodeBuilderAndEqualsBuilderTest.SubTestFixture]; [HashCodeBuilderAndEqualsBuilderTest.AllTransientFixture]; [HashCodeBuilderAndEqualsBuilderTest.SubAllTransientFixture]; [CompareToBuilderTest.TestObject]; [CompareToBuilderTest.TestSubObject]; [CompareToBuilderTest.TestTransientSubObject]; [ToStringStyleConcurrencyTest]; [ToStringStyleConcurrencyTest.CollectionHolder]; [MultilineRecursiveToStringStyleTest]; [MultilineRecursiveToStringStyleTest.WithArrays]; [MultilineRecursiveToStringStyleTest.WithArraysTestType]; [MultilineRecursiveToStringStyleTest.Bank]; [MultilineRecursiveToStringStyleTest.Customer]; [MultilineRecursiveToStringStyleTest.Account]; [MultilineRecursiveToStringStyleTest.Transaction]; [JsonToStringStyleTest.NestingPerson]; [JsonToStringStyleTest.Hobby]; [JsonToStringStyleTest.EmptyEnum]; [JsonToStringStyleTest.Student]; [JsonToStringStyleTest.Teacher]; [JsonToStringStyleTest.AcademyClass]; [JsonToStringStyleTest.InnerMapObject]. LCC (Lack of Component Cohesion) = 0.58
commons-lang,org.apache.commons.lang3.exception,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UncheckedIllegalAccessExceptionTest]; [AbstractExceptionTest; CloneFailedExceptionTest; CloneFailedException]; [UncheckedReflectiveOperationExceptionTest]; [ContextedExceptionTest; AbstractExceptionContextTest; DefaultExceptionContextTest; ExceptionUtils; DefaultExceptionContext; ContextedException; ContextedRuntimeException; ContextedRuntimeExceptionTest; ExceptionUtilsTest; ExceptionContext]; [CustomCheckedException]; [UncheckedExceptionTest]; [AbstractExceptionContextTest.ObjectWithFaultyToString]; [ExceptionUtilsTest.ExceptionWithCause]; [ExceptionUtilsTest.ExceptionWithoutCause]; [ExceptionUtilsTest.NestableException]; [ExceptionUtilsTest.TestThrowable]; [CustomUncheckedException]; [UncheckedInterruptedExceptionTest]; [UncheckedReflectiveOperationException; UncheckedException; UncheckedIllegalAccessException; UncheckedInterruptedException]. LCC (Lack of Component Cohesion) = 0.5
commons-lang,org.apache.commons.lang3.event,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EventListenerSupportTest; EventListenerSupport; EventUtilsTest; EventUtils; EventUtilsTest.MultipleEventSource; EventUtilsTest.PropertyChangeSource]; [EventUtilsTest.MultipleEventListener]; [EventUtilsTest.EventCounter]; [EventUtilsTest.EventCounterWithEvent]; [EventUtilsTest.EventCountingInvocationHandler]; [EventUtilsTest.ExceptionEventSource]; [EventUtils.EventBindingInvocationHandler]; [EventListenerSupport.ProxyInvocationHandler]. LCC (Lack of Component Cohesion) = 0.62
